Variable,Overall,Cluster 0,Cluster 1,Cluster 2
Event rate,0.600,0.819,0.759,0.526
Age,"31 (17, 42)","20 (9, 32)","33 (21.5, 46)","32 (18, 43)"
Duration,"9 (2.66, 28)","8.5 (2.66, 24.5)","48 (8, 144)","7.5 (1.66, 16)"
tIgE,"94.2 (34, 238)","1.17e+03 (984, 1.35e+03)","75.1 (33.1, 162)","78.8 (27.5, 168)"
SALT,"12 (7, 23.5)","12 (6.75, 22)","50 (21.2, 66)","10.5 (6, 16.5)"
25(OH)D3,"15.2 (11.1, 19.5)","13.3 (9.46, 18.1)","14.7 (10.3, 18.8)","15.6 (11.3, 19.8)"
Mutiple=0.0,1173 (73.6%),120 (70.2%),218 (73.9%),835 (74.0%)
Mutiple=1.0,421 (26.4%),51 (29.8%),77 (26.1%),293 (26.0%)
Yellow_dot=0.0,1088 (68.3%),115 (67.3%),183 (62.0%),790 (70.0%)
Yellow_dot=1.0,506 (31.7%),56 (32.7%),112 (38.0%),338 (30.0%)
Black_dot=0.0,427 (26.8%),41 (24.0%),87 (29.5%),299 (26.5%)
Black_dot=1.0,1167 (73.2%),130 (76.0%),208 (70.5%),829 (73.5%)
Excl_mark=0.0,727 (45.6%),66 (38.6%),127 (43.1%),534 (47.3%)
Excl_mark=1.0,867 (54.4%),105 (61.4%),168 (56.9%),594 (52.7%)
Broken_hairs=0.0,756 (47.4%),76 (44.4%),147 (49.8%),533 (47.3%)
Broken_hairs=1.0,838 (52.6%),95 (55.6%),148 (50.2%),595 (52.7%)
Short_lanugo=0.0,889 (55.8%),114 (66.7%),152 (51.5%),623 (55.2%)
Short_lanugo=1.0,705 (44.2%),57 (33.3%),143 (48.5%),505 (44.8%)
Site=1,456 (28.6%),51 (29.8%),103 (34.9%),302 (26.8%)
Site=2,198 (12.4%),21 (12.3%),34 (11.5%),143 (12.7%)
Site=3,383 (24.0%),41 (24.0%),67 (22.7%),275 (24.4%)
Site=4,557 (34.9%),58 (33.9%),91 (30.8%),408 (36.2%)
